,Drug_Name,Uses,Image URL,Manufacturer,Rating,Route_of_Administration
3102,Xyzal M Suspension,Sneezing runny nose allergiesTreatment Hay feverTreatment Allergic skin conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/xdwsoqhk9kgxmgtrzdln.jpg",Dr Reddy's Laboratories Ltd,3.8,Suspension
3103,Levipil Syrup,Epilepsy/Seizures,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/mrzpjfksinfapw3khyie.jpg",Sun Pharmaceutical Industries Ltd,3.8,Syrup
3104,Amlosafe 3D Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/jfkrj7e7qy7kvqjb7gch.jpg",Aristo Pharmaceuticals Pvt Ltd,3.8,Tablet
3105,Aquim PF Eye Drop,Dry eyes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/i09dq8qmfe8keusgoybt.jpg",His Eyeness Ophthalmics Pvt Ltd,3.8,Drop
3106,Zady Readymix Oral Suspension,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ia88xyxxjk7segz1uhxl.jpg",Mankind Pharma Ltd,3.8,Suspension
3107,Fevago DS Suspension,Pain reliefTreatment Fever,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ddjpylibefqi8se5cnzw.jpg",Cipla Ltd,3.8,Suspension
3108,Laretol Capsule,Calcium deficiencyTreatment Metabolic Bone,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/b863e336e573421a8476185dfaaad920.jpg",La Renon Healthcare Pvt Ltd,3.8,Capsule
3109,Suminat 50 Tablet,Acute migraine headache,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/so7sxp1zgkrpddaeaqto.jpg",Sun Pharmaceutical Industries Ltd,3.8,Tablet
3110,Zupion -SR Tablet,Depression Smoking addiction,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/d661f463e6b7444794e1ae3d47fab5dc.jpg",Intas Pharmaceuticals Ltd,3.78,Tablet
3111,Valamac 500mg Tablet,Herpes labialis Genital herpes infection Herpes zoster,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/359fe061b9654d0984f291506079a17e.jpg",Macleods Pharmaceuticals Pvt Ltd,3.78,Tablet
3112,Zulu AT 4 Tablet,Pain muscle spasm,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/gn0rbmgndfdpgb55m74b.jpg",Torrent Pharmaceuticals Ltd,3.78,Tablet
3113,Atorlip-ASP 20 Capsule,heart attack stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/pyaxetxb0801bb2nomct.jpg",Cipla Ltd,3.78,Capsule
3114,Halonova S Ointment,Eczema Psoriasis,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/w9l91gykur0vizax2m97.jpg",Torrent Pharmaceuticals Ltd,3.78,Ointment
3115,Nebzmart-G 25mcg Smartules 2ml,Chronic obstructive pulmonary (COPD) General Anaesthesia Peptic ulcer,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/r2ehjfgsmmrhwp3tsvwf.jpg",Glenmark Pharmaceuticals Ltd,3.78,2ml
3116,Beipos Eye Drop,Allergic eye,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/aumebxv9btp2vvhiltdu.jpg",Lupin Ltd,3.78,Drop
3117,Renicol Eye Drop,Bacterial eye infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/qcxt8r1ceezek3vppkho.jpg",Ordain Health Care Global Pvt Ltd,3.78,Drop
3118,Telista MT 25 Tablet SR,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/hgk74sjlm2jnpdfbtcmz.jpg",Lupin Ltd,3.78,SR
3119,Novomix 50 100IU/ml Penfill,Diabetes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/jyqg2ndidozfwlypj049.jpg",Novo Nordisk India Pvt Ltd,3.78,Penfill
3120,Tozam Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ri9aubyiid14u1igfoms.jpg",Torrent Pharmaceuticals Ltd,3.78,Tablet
3121,Flucort Forte Lotion,Skin conditions with inflammation & itching,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/jyzk5qi5vnlsdeian3dr.jpg",Glenmark Pharmaceuticals Ltd,3.78,Lotion
3122,Vinglyn M 500 Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/icmoaphyym0pdsdi0fpj.jpg",Zydus Cadila,3.78,Tablet
3123,Redotil Sachet,Diarrhea,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/4f5c634930e14323a9d5ffeeb152dae1.jpg",Dr Reddy's Laboratories Ltd,3.78,Sachet
3124,Lipirose 5 Tablet,High cholesterol heart attack stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ysmy3p3da2n3d24hdtfp.jpg",Mankind Pharma Ltd,3.78,Tablet
3125,Amodep-TM Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/phlnosb7rgzhiijo0sbd.jpg",FDC Ltd,3.78,Tablet
3126,Lumigan 0.03% Ophthalmic Solution,Ocular hypertension Glaucoma,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/tfb5clzibuhazcuiucui.png",Allergan India Pvt Ltd,3.78,Solution
3127,Spasmindon Paediatric Drops,Improving Abdominal painTreatment Irritable bowel syndrome,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/poddbdbx9lofweox86um.jpg",Zydus Healthcare Limited,3.78,Drops
3128,Medkin AD Shampoo,Dandruff,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/806a2e5f-f110-44e6-a193-c8f62bceddc7.jpeg",Mediste Pharmaceuticals Pvt Ltd,3.78,Shampoo
3129,Nexvenla-OD 50  Tablet ER,Depression,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a8466fd3833f42659167eefcdc5958e3.jpg",Alkem Laboratories Ltd,3.78,ER
3130,Nebzmart-G 25mcg Smartules 2ml,Chronic obstructive pulmonary (COPD) General Anaesthesia Peptic ulcer,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/r2ehjfgsmmrhwp3tsvwf.jpg",Glenmark Pharmaceuticals Ltd,3.78,2ml
3131,Torleva XR 750 Tablet,Epilepsy/Seizures,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/o4ll8u1xkj4ernka5jjd.jpg",Torrent Pharmaceuticals Ltd,3.78,Tablet
3132,Tazloc 40 Tablet,Hypertension (high blood pressure) heart attack strokeTreatment Heart failure,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/r1fuwii6lmgpxixgxmmm.jpg",USV Ltd,3.78,Tablet
3133,Micogel F Cream,Fungal skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/4fb7a7c526db40b88a5358de544f68b7.jpg",Cipla Ltd,3.78,Cream
3134,Lyser DP Tablet,Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/b4fd39c12b11424fa62e408e25e14ed2.jpg",Comed Chemicals Ltd,3.78,Tablet
3135,Glimisave MV 1 Tablet SR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/eqqajghxuboj4729pzmg.jpg",Eris Lifesciences Ltd,3.78,SR
3136,Biovac A Vaccine,Hepatitis A infection,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/628e3bb221b2454a852446551339c6df.jpg",Dr Reddy's Laboratories Ltd,3.78,Vaccine
3137,Budesal 1mg Respule 2ml,Chronic obstructive pulmonary (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/hrvzqbw7trinqa9qabm8.jpg",Cipla Ltd,3.78,2ml
3138,Tegrital CR 400 Divitabs,Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/dkajrrjlrzm0gwelp2ae.jpg",Novartis India Ltd,3.78,Divitabs
3139,Zerograin-Plus New Tablet,Migraine,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/1ef660bf55ed4ebfafdee9e08133764b.jpg",Mankind Pharma Ltd,3.78,Tablet
3140,Serta 100 Tablet,DepressionTreatment Post traumatic stress disorderTreatment Obsessive-compulsive disorderTreatment Panic disorderTreatment Premenstrual dysphoric disorderTreatment AnxietyTreatment Premenstrual syndrome (PMS),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/rjqj4xrnbvxbf8j0sbv4.jpg",Torrent Pharmaceuticals Ltd,3.78,Tablet
3141,Eslo Tan Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/e10a8f3694404c268aa24324aa679844.jpg",Zuventus Healthcare Ltd,3.78,Tablet
3142,Pentanerv-NT Tablet,Neuropathic pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/327d3111a52a4bc0abf01a88e5bc6136.jpg",Alkem Laboratories Ltd,3.78,Tablet
3143,Zovirax 400 Tablet,Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/xya7kntakqbfamjrpu70.jpg",Glaxo SmithKline Pharmaceuticals Ltd,3.78,Tablet
3144,Powergesic MR Tablet,Pain muscle spasm,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/fdez7bfn3se6ngr9lejy.jpg",Jenburkt Pharmaceuticals Ltd,3.78,Tablet
3145,Tazloc-H 80 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ccb6l19xjzo7kecnejxe.jpg",USV Ltd,3.78,Tablet
3146,Methycobal Tablet,Pernicious Anemia Vitamin B12 deficiency,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/c2d8vvigwjzrkx3fzwyu.jpg",Wockhardt Ltd,3.78,Tablet
3147,Acinil-O Oral Suspension,Acidity Heartburn Stomach ulcers,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a7f08efc583d4bbfb17bd786d167d376.jpg",Veritaz Healthcare Ltd,3.78,Suspension
3148,Glyxambi 25mg/5mg Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/jwl68uebxswjdoblsw5p.jpg",Boehringer Ingelheim,3.78,Tablet
3149,Wokride-D Capsule SR,Gastroesophageal reflux (Acid reflux) Peptic ulcer,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/t7wdlk2jacy5hnhlwqzr.jpg",Dr Reddy's Laboratories Ltd,3.78,SR
3150,Formonide Forte 12mcg/400mcg Inhaler,Chronic obstructive pulmonary (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/u380hmedib5mdckfbnon.jpg",Zydus Cadila,3.78,Inhaler
3151,Terbinaforce Dusting Powder,Fungal skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/oqa5wrwo5mu8fpgrfcyw.jpg",Mankind Pharma Ltd,3.78,Powder
3152,Amlokind 10mg Tablet,Hypertension (high blood pressure) Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/mv2vlryi1925fy0hgxsf.jpg",Mankind Pharma Ltd,3.78,Tablet
3153,Rozucor F 10 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/wndxwinye9mdqaxhdxa0.jpg",Torrent Pharmaceuticals Ltd,3.78,Tablet
3154,Tears Naturale Forte Ophthalmic Solution,Dry eyes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/241f7b69dd3a4edbab47fbb740e1925c.jpg",Alcon Laboratories,3.78,Solution
3155,Reclimet MR Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/u3le8xehnwr4bea9k8py.jpg",Dr Reddy's Laboratories Ltd,3.78,Tablet
3156,Andre I-Kul Eye Drop,Allergic eye,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/0d82813d035349cea0c99da3fd52469d.jpg",Intas Pharmaceuticals Ltd,3.78,Drop
3157,Anaflam TH  4  Tablet,Muscular pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/axjdlyx05nhas2pevnop.jpg",Albert David Ltd,3.78,Tablet
3158,Valgress-CR 300 Tablet,Epilepsy,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/gqkkk3esfrdahnbq2wvy.jpg",La Renon Healthcare Pvt Ltd,3.78,Tablet
3159,Novomix 50 Suspension for Injection 100IU/ml,Diabetes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/xtd23va1ts23rfbint2r.png",Novo Nordisk India Pvt Ltd,3.78,100IU/ml
3160,Levigress 750 Tablet,Epilepsy/Seizures,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/tkiqvfv9o8zacahoejse.jpg",La Renon Healthcare Pvt Ltd,3.78,Tablet
3161,Odimont-LC Tablet,Sneezing runny nose allergiesTreatment Hay feverTreatment Allergic skin conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/fv7xoqayi4zergt36adu.jpg",Zydus Cadila,3.78,Tablet
3162,Esiflo 250 Transcaps,Chronic obstructive pulmonary (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/pnymosl2qy7qpa2nkofs.jpg",Lupin Ltd,3.78,Transcaps
3163,Sizopin 100mg Tablet,Schizophrenia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/lbdgwjvngctkl4tk1wjl.jpg",Sun Pharmaceutical Industries Ltd,3.78,Tablet
3164,Thyrox 88 Tablet,Hypothyroidism,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/e8533c06e4944766af58bfb855e5cfc3.jpg",Macleods Pharmaceuticals Pvt Ltd,3.78,Tablet
3165,Losar-A Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/271a0423c3ca46d7bd7a5131830bcf6f.jpg",Torrent Pharmaceuticals Ltd,3.78,Tablet
3166,PPG 0.2 Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/vnjk6brass4kqofezwgi.jpg",Abbott,3.78,Tablet
3167,Ornilox Tablet,Bacterial & parasitic infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/y3i2of5dr7vepvyfjynx.jpg",Micro Labs Ltd,3.78,Tablet
3168,Zolahart 40 Tablet,Hypertension (high blood pressure) Heart failure heart attack stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/lina1hgr4eyhm7xvyqnx.jpg",Mankind Pharma Ltd,3.78,Tablet
3169,Glimp-M 2 Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/721b0e70f86c4fe0b909645f61ec3ecb.jpg",Biochem Pharmaceutical Industries,3.78,Tablet
3170,Azmarda 50mg Tablet,Heart failure,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/3e5bdb85-23a9-4179-a583-99dbdde44bb6.jpeg",J B Chemicals and Pharmaceuticals Ltd,3.78,Tablet
3171,MTnL Tablet,Sneezing runny nose allergiesTreatment Hay feverTreatment Allergic skin conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/xgfvyp5mnd2x7vmmct1y.jpg",Centaur Pharmaceuticals Pvt Ltd,3.78,Tablet
3172,Misopt Eye Drop,GlaucomaTreatment Ocular hypertension,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/pndk8bztngybawmswmey.jpg",Micro Labs Ltd,3.78,Drop
3173,Nazomac-AF Nasal Spray,Sneezing runny nose allergies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/pndn5zxdupdarpyun3bl.jpg",Macleods Pharmaceuticals Pvt Ltd,3.78,Spray
3174,Digihaler SF 250 Inhaler,Chronic obstructive pulmonary (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ijgwluodzi71n5owzgqe.jpg",Glenmark Pharmaceuticals Ltd,3.78,Inhaler
3175,Olmezest H 40 Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/fhmrkkxbepetpcrtuxmk.jpg",Sun Pharmaceutical Industries Ltd,3.76,Tablet
3176,Pari CR 25 Tablet,DepressionTreatment Panic disorderTreatment Anxiety disorder,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/84ee231a23524393b2e975fe8ea21ac5.jpg",Ipca Laboratories Ltd,3.76,Tablet
3177,Olmezest Beta 25 Tablet ER,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/pjrdliugnzpv2m8nduz8.jpg",Sun Pharmaceutical Industries Ltd,3.76,ER
3178,Olmesar 40 Tablet,Hypertension (high blood pressure) Heart failure heart attack stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/39b1e621664342efa0f029c87916a342.jpg",Macleods Pharmaceuticals Pvt Ltd,3.76,Tablet
3179,Peg-SR M 75 Tablet,Neuropathic pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/2dbfe41878774635873862b5ba892384.jpg",Ipca Laboratories Ltd,3.76,Tablet
3180,Teevir Tablet,HIV infection,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/11870d4548394d768bb0af001f6682cb.jpg",Mylan Pharmaceuticals Pvt Ltd - A Viatris Company,3.76,Tablet
3181,Desveren 50 Tablet ER,Depression,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/fe5d826b07cf4f71b8d3591ead1a7474.jpg",La Renon Healthcare Pvt Ltd,3.76,ER
3182,Olkem 40 H Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/xv8n7imgp1folgfszrhs.jpg",Alkem Laboratories Ltd,3.76,Tablet
3183,Olmezest Beta 50 Tablet ER,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/doyvlhhym8vbiueiszdw.jpg",Sun Pharmaceutical Industries Ltd,3.76,ER
3184,Urofit Oral Solution,Kidney stone,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/nqmwxnrax8noqnnyjonx.jpg",TTK Healthcare Ltd,3.76,Solution
3185,Amlopin-M Tablet PR,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/mmnpaymcgzvr3itswlhy.jpg",USV Ltd,3.76,PR
3186,Naprosyn SR Tablet,Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/yjnzfqbmica6yqykjheq.jpg",RPG Life Sciences Ltd,3.76,Tablet
3187,Fibrovas Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/nbxez3zawyrqpmxvjxpw.jpg",Micro Labs Ltd,3.76,Tablet
3188,Momeflo Nasal Spray,Sneezing runny nose allergiesTreatment Nasal congestion (blocked nose) Nasal polyps,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/stcvuw2cfkiiywtyy9xl.jpg",Lupin Ltd,3.76,Spray
3189,Amlopin-AT Tablet,Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/vc92abxfamyvt3s4kdfx.jpg",USV Ltd,3.76,Tablet
3190,New Triglucored Forte Tablet,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/rbrz8kk8tixiz2zpkc6k.jpg",Sun Pharmaceutical Industries Ltd,3.76,Tablet
3191,Ursocol SR 600 Tablet,Primary biliary cirrhosisTreatment Gallbladder stones,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/zzj4imwv3pwrazlj0h23.jpg",Sun Pharmaceutical Industries Ltd,3.76,Tablet
3192,Metadoze-IPR 500 Tablet SR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/kgtpu0w9bplivapcsjwx.jpg",Biocon,3.76,SR
3193,Pradaxa 150mg Capsule,Blood clots,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/zuh9r2wsxlx5hkqtjsls.png",Boehringer Ingelheim,3.76,Capsule
3194,Tonact-TG 20 Tablet,High cholesterolPrevention Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/zpucvzmoqgv7ang5beek.jpg",Lupin Ltd,3.76,Tablet
3195,Bidin LS Eye Drop,Ocular hypertension Glaucoma,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/xx6majwgjnlrbv1n9uj4.jpg",Ajanta Pharma Ltd,3.76,Drop
3196,Zenoxa OD 600 Tablet SR,Epilepsy/Seizures,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/tssz4g2il5lhbbtfugvt.jpg",Intas Pharmaceuticals Ltd,3.76,SR
3197,Azee 200mg Dry Syrup,Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/xkg1pweump6uhajxdn7y.jpg",Cipla Ltd,3.76,Syrup
3198,Tobastar F Eye Drop,Bacterial eye infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/d9f72744624a4a359355e15051e7e2dd.jpg",Mankind Pharma Ltd,3.76,Drop
3199,Gasofilm Oral Disintegrating Strip,Bloating Abdominal pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ge932xiid7wtyewy9nn9.jpg",Delvin Formulations Pvt Ltd,3.76,Strip
3200,Glycomet Trio 2 Tablet SR,Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/rs3wmkmhftovuxbnxxo8.jpg",USV Ltd,3.76,SR
